SampleID	RunOrder	RunDay	PC1	PC2	Volume	Subject
Subject1_1_822_1043am	71	Day 3	-1.911325764	-15.90352696	300	Subject1
Subject1_10_824_338pm	38	Day 2	1.899893987	-22.28067635	450	Subject1
Subject1_11_824_645pm	12	Day 1	58.36866869	-18.63602426	750	Subject1
Subject1_12_824_756pm	121	Day 4	80.9936846	-14.55113614	700	Subject1
Subject1_13_824_919pm	44	Day 2	13.83288829	-18.66894435	350	Subject1
Subject1_14_825_822am	60	Day 2	-10.05577234	-15.19119054	700	Subject1
Subject1_15_825_954am	86	Day 3	-12.43330235	-12.84197937	150	Subject1
Subject1_16_825_1215pm	10	Day 1	4.493351911	-17.53230942	300	Subject1
Subject1_17_825_319pm	123	Day 4	4.384005469	-17.27050089	250	Subject1
Subject1_18_825_646pm	113	Day 4	3.708735936	-13.16755397	250	Subject1
Subject1_19_826_1228am	53	Day 2	-8.556025677	-16.53583537	250	Subject1
Subject1_2_822_114pm	48	Day 2	-6.846995917	-17.37357072	250	Subject1
Subject1_20_826_915am	124	Day 4	-11.93750147	-9.343452269	500	Subject1
Subject1_21_826_1143am	43	Day 2	-7.255963414	-12.90518851	100	Subject1
Subject1_22_826_251pm	83	Day 3	-7.302872475	-16.3378361	350	Subject1
Subject1_23_826_444pm	27	Day 1	-11.52265496	-17.77548465	150	Subject1
Subject1_24_826_840pm	16	Day 1	-6.636216996	-18.08927438	200	Subject1
Subject1_25_826_959pm	122	Day 4	-7.827797415	-16.70112123	100	Subject1
Subject1_26_827_715am	35	Day 1	-7.753241866	-13.71262919	500	Subject1
Subject1_27_827_947am	61	Day 2	-5.569439791	-13.43794006	300	Subject1
Subject1_28_827_126pm	42	Day 2	-5.168314755	-17.35373807	400	Subject1
Subject1_29_827_327pm	88	Day 3	-16.1063491	-16.30608106	200	Subject1
Subject1_3_823_1032am	51	Day 2	-3.193244973	-12.13202653	250	Subject1
Subject1_30_827_548pm	101	Day 4	10.9844246	-16.89006055	400	Subject1
Subject1_31_827_749pm	21	Day 1	-5.916891691	-18.1028251	200	Subject1
Subject1_32_827_1140pm	115	Day 4	-14.48005179	-12.93979222	350	Subject1
Subject1_33_828_731am	74	Day 3	-11.01356291	-19.65968721	500	Subject1
Subject1_34_828_1137am	103	Day 4	-5.379533845	-15.26323195	350	Subject1
Subject1_35_828_209pm	87	Day 3	14.5657807	-8.942123879	500	Subject1
Subject1_36_828_514pm	37	Day 2	-0.6295934	-20.05498041	550	Subject1
Subject1_37_828_736pm	15	Day 1	-0.176063975	-22.4408469	450	Subject1
Subject1_38_828_1113pm	98	Day 4	-0.44121673	-20.07399882	400	Subject1
Subject1_39_829_735am	31	Day 1	-10.1020029	-17.99803154	550	Subject1
Subject1_4_823_127pm	34	Day 1	5.781162326	-19.70644972	650	Subject1
Subject1_40_829_935am	75	Day 3	17.55773662	-16.24936724	500	Subject1
Subject1_41_829_1141am	65	Day 2	13.49566958	-19.58658688	550	Subject1
Subject1_42_829_119pm	100	Day 4	26.9800511	-19.67673798	450	Subject1
Subject1_43_829_626pm	84	Day 3	-14.54903179	-10.16282017	450	Subject1
Subject1_44_829_1058pm	55	Day 2	-12.21858665	-16.87398126	350	Subject1
Subject1_45_830_724am	54	Day 2	-8.727486778	-12.92382855	550	Subject1
Subject1_46_830_957am	22	Day 1	-1.111702069	-18.3091095	300	Subject1
Subject1_47_830_1125am	97	Day 3	6.568903832	-16.67193832	300	Subject1
Subject1_48_830_242pm	125	Day 4	-1.374795949	-20.9896556	550	Subject1
Subject1_49_830_620pm	79	Day 3	-6.045021524	-17.13001054	500	Subject1
Subject1_5_823_550pm	90	Day 3	-7.825543814	-22.51117366	450	Subject1
Subject1_50_831_732am	66	Day 2	-12.42429059	-15.99353155	650	Subject1
Subject1_6_823_1036pm	107	Day 4	-11.68464859	-16.93369033	250	Subject1
Subject1_7_824_1235am	91	Day 3	6.598866877	-18.3396081	50	Subject1
Subject1_8_824_744am	93	Day 3	-15.16288474	-9.615323329	250	Subject1
Subject1_9_824_1128am	99	Day 4	-2.059611273	-14.70893503	250	Subject1
Subject2_1_822_4pm	25	Day 1	-10.07345862	7.396141646	125	Subject2
Subject2_10_824_1150am	24	Day 1	14.77407301	26.65486782	125	Subject2
Subject2_11_824_4pm	126	Day 4	4.823847384	17.20406991	390	Subject2
Subject2_12_824_641pm	96	Day 3	-2.843253146	9.010506658	160	Subject2
Subject2_13_824_9pm	95	Day 3	-11.96705131	4.208154796	140	Subject2
