"disease","metabolite","chemical_taxonomy"
"Alzheimer's disease","1-methylhistidine","Organic acids and derivatives"
"Alzheimer's disease","2-hydroxybutyric acid","Organic acids and derivatives"
"Alzheimer's disease","carnosine","Organic acids and derivatives"
"Alzheimer's disease","adenine","Organoheterocyclic compounds"
"Alzheimer's disease","betaine","Organic acids and derivatives"
"Alzheimer's disease","adenosine monophosphate","Nucleosides, nucleotides, and analogues"
"Alzheimer's disease","adenosine","Nucleosides, nucleotides, and analogues"
"Alzheimer's disease","beta-alanine","Organic acids and derivatives"
"Alzheimer's disease","creatine","Organic acids and derivatives"
"Alzheimer's disease","cis-aconitic acid","Organic acids and derivatives"
"Alzheimer's disease","dopamine","Benzenoids"
"Alzheimer's disease","cytidine","Nucleosides, nucleotides, and analogues"
"Alzheimer's disease","citric acid","Organic acids and derivatives"
"Alzheimer's disease","choline","Organic nitrogen compounds"
"Alzheimer's disease","l-cystathionine","Organic acids and derivatives"
"Alzheimer's disease","galactitol","Organic oxygen compounds"
"Alzheimer's disease","gamma-aminobutyric acid","Organic acids and derivatives"
"Alzheimer's disease","folic acid","Organic acids and derivatives"
"Alzheimer's disease","d-glucose","Organic oxygen compounds"
"Alzheimer's disease","glycine","Organic acids and derivatives"
"Alzheimer's disease","glycerol 3-phosphate","Lipids and lipid-like molecules"
"Alzheimer's disease","guanine","Organoheterocyclic compounds"
"Alzheimer's disease","fumaric acid","Organic acids and derivatives"
"Alzheimer's disease","l-glutamic acid","Organic acids and derivatives"
"Alzheimer's disease","l-malic acid","Organic acids and derivatives"
"Alzheimer's disease","hypoxanthine","Organoheterocyclic compounds"
"Alzheimer's disease","l-tyrosine","Organic acids and derivatives"
"Alzheimer's disease","l-phenylalanine","Organic acids and derivatives"
"Alzheimer's disease","l-alanine","Organic acids and derivatives"
"Alzheimer's disease","l-proline","Organic acids and derivatives"
"Alzheimer's disease","l-threonine","Organic acids and derivatives"
"Alzheimer's disease","l-asparagine","Organic acids and derivatives"
"Alzheimer's disease","l-isoleucine","Organic acids and derivatives"
"Alzheimer's disease","l-histidine","Organic acids and derivatives"
"Alzheimer's disease","l-dopa","Organic acids and derivatives"
"Alzheimer's disease","l-lysine","Organic acids and derivatives"
"Alzheimer's disease","l-serine","Organic acids and derivatives"
"Alzheimer's disease","l-lactic acid","Organic acids and derivatives"
"Alzheimer's disease","l-aspartic acid","Organic acids and derivatives"
"Alzheimer's disease","l-cystine","Organic acids and derivatives"
"Alzheimer's disease","isocitric acid","Organic acids and derivatives"
"Alzheimer's disease","anserine","Organic acids and derivatives"
"Alzheimer's disease","methylmalonic acid","Organic acids and derivatives"
"Alzheimer's disease","myo-inositol","Organic oxygen compounds"
"Alzheimer's disease","ornithine","Organic acids and derivatives"
"Alzheimer's disease","pyruvic acid","Organic acids and derivatives"
"Alzheimer's disease","sorbitol","Organic oxygen compounds"
"Alzheimer's disease","succinic acid","Organic acids and derivatives"
"Alzheimer's disease","sarcosine","Organic acids and derivatives"
"Alzheimer's disease","3-hydroxybutyric acid","Organic acids and derivatives"
"Alzheimer's disease","5-hydroxylysine","Organic acids and derivatives"
"Alzheimer's disease","l-alpha-aminobutyric acid","Organic acids and derivatives"
"Alzheimer's disease","calcium","Homogeneous metal compounds"
"Alzheimer's disease","3-methylhistidine","Organic acids and derivatives"
"Alzheimer's disease","ribitol","Organic oxygen compounds"
"Alzheimer's disease","l-arginine","Organic acids and derivatives"
"Alzheimer's disease","magnesium","Homogeneous metal compounds"
"Alzheimer's disease","creatinine","Organic acids and derivatives"
"Alzheimer's disease","l-cysteine","Organic acids and derivatives"
"Alzheimer's disease","cobalt","Homogeneous metal compounds"
"Alzheimer's disease","l-glutamine","Organic acids and derivatives"
"Alzheimer's disease","copper","Homogeneous metal compounds"
"Alzheimer's disease","l-leucine","Organic acids and derivatives"
"Alzheimer's disease","fe2+","Homogeneous metal compounds"
"Alzheimer's disease","glycylproline","Organic acids and derivatives"
"Alzheimer's disease","4-hydroxyproline","Organic acids and derivatives"
"Alzheimer's disease","homocysteine","Organic acids and derivatives"
"Alzheimer's disease","mannitol","Organic oxygen compounds"
"Alzheimer's disease","l-valine","Organic acids and derivatives"
"Alzheimer's disease","1-methylhistamine","Organic nitrogen compounds"
"Alzheimer's disease","citrulline","Organic acids and derivatives"
"Alzheimer's disease","l-tryptophan","Organoheterocyclic compounds"
"Alzheimer's disease","s-adenosylhomocysteine","Nucleosides, nucleotides, and analogues"
"Alzheimer's disease","dehydroepiandrosterone sulfate","Lipids and lipid-like molecules"
"Alzheimer's disease","aluminum","Homogeneous metal compounds"
"Alzheimer's disease","spermidine","Organic nitrogen compounds"
"Alzheimer's disease","molybdenum","Homogeneous metal compounds"
"Alzheimer's disease","manganese","Homogeneous metal compounds"
"Alzheimer's disease","3,4-dihydroxybenzeneacetic acid","Benzenoids"
"Alzheimer's disease","glucose 6-phosphate","Organic oxygen compounds"
"Alzheimer's disease","putrescine","Organic nitrogen compounds"
"Alzheimer's disease","phosphorylcholine","Organic nitrogen compounds"
"Alzheimer's disease","l-arabitol","Organic oxygen compounds"
"Alzheimer's disease","substance p","Organic Polymers"
"Alzheimer's disease","tin","Mixed metal/non-metal compounds"
"Alzheimer's disease","tungsten","Homogeneous metal compounds"
"Alzheimer's disease","nickel","Homogeneous metal compounds"
"Alzheimer's disease","vanadium","Homogeneous metal compounds"
"Alzheimer's disease","d-glutamic acid","Organic acids and derivatives"
"Alzheimer's disease","mercury","Homogeneous metal compounds"
"Alzheimer's disease","cadmium","Homogeneous metal compounds"
"Alzheimer's disease","strontium","Homogeneous metal compounds"
"Alzheimer's disease","barium","Homogeneous metal compounds"
"Alzheimer's disease","4-hydroxynonenal","Lipids and lipid-like molecules"
"Alzheimer's disease","lead","Homogeneous metal compounds"
"Alzheimer's disease","lithium","Homogeneous metal compounds"
"Alzheimer's disease","l-2,4-diaminobutyric acid","Organic acids and derivatives"
"Alzheimer's disease","prolylhydroxyproline","Organic acids and derivatives"
"Alzheimer's disease","thallium","Mixed metal/non-metal compounds"
"Alzheimer's disease","zinc","Homogeneous metal compounds"
"Pregnancy","1-methylhistidine","Organic acids and derivatives"
"Pregnancy","2-hydroxybutyric acid","Organic acids and derivatives"
"Pregnancy","acetic acid","Organic acids and derivatives"
"Pregnancy","betaine","Organic acids and derivatives"
"Pregnancy","acetoacetic acid","Organic acids and derivatives"
"Pregnancy","l-carnitine","Organic nitrogen compounds"
"Pregnancy","creatine","Organic acids and derivatives"
"Pregnancy","dimethylamine","Organic nitrogen compounds"
"Pregnancy","citric acid","Organic acids and derivatives"
"Pregnancy","choline","Organic nitrogen compounds"
"Pregnancy","ethanol","Organic oxygen compounds"
"Pregnancy","d-glucose","Organic oxygen compounds"
"Pregnancy","glycine","Organic acids and derivatives"
"Pregnancy","glycerol","Organic oxygen compounds"
"Pregnancy","formic acid","Organic acids and derivatives"
"Pregnancy","estriol","Lipids and lipid-like molecules"
"Pregnancy","l-tyrosine","Organic acids and derivatives"
"Pregnancy","l-phenylalanine","Organic acids and derivatives"
"Pregnancy","l-alanine","Organic acids and derivatives"
"Pregnancy","l-proline","Organic acids and derivatives"
"Pregnancy","l-threonine","Organic acids and derivatives"
"Pregnancy","l-asparagine","Organic acids and derivatives"
"Pregnancy","l-isoleucine","Organic acids and derivatives"
"Pregnancy","l-lysine","Organic acids and derivatives"
"Pregnancy","l-serine","Organic acids and derivatives"
"Pregnancy","l-lactic acid","Organic acids and derivatives"
"Pregnancy","ornithine","Organic acids and derivatives"
"Pregnancy","pyruvic acid","Organic acids and derivatives"
"Pregnancy","succinic acid","Organic acids and derivatives"
"Pregnancy","sphinganine","Organic nitrogen compounds"
"Pregnancy","2-hydroxyestrone","Lipids and lipid-like molecules"
"Pregnancy","3-hydroxybutyric acid","Organic acids and derivatives"
"Pregnancy","2-hydroxy-3-methylbutyric acid","Lipids and lipid-like molecules"
"Pregnancy","3-methylhistidine","Organic acids and derivatives"
"Pregnancy","l-arginine","Organic acids and derivatives"
"Pregnancy","creatinine","Organic acids and derivatives"
"Pregnancy","pc(16:0/16:0)","Lipids and lipid-like molecules"
"Pregnancy","pc(18:1(9z)/18:1(9z))","Lipids and lipid-like molecules"
"Pregnancy","cyanocobalamin","Organoheterocyclic compounds"
"Pregnancy","l-glutamine","Organic acids and derivatives"
"Pregnancy","decanoylcarnitine","Lipids and lipid-like molecules"
"Pregnancy","iodine","Homogeneous non-metal compounds"
"Pregnancy","l-leucine","Organic acids and derivatives"
"Pregnancy","malonic acid","Organic acids and derivatives"
"Pregnancy","l-methionine","Organic acids and derivatives"
"Pregnancy","3-hydroxyisovaleric acid","Lipids and lipid-like molecules"
"Pregnancy","l-octanoylcarnitine","Lipids and lipid-like molecules"
"Pregnancy","isopropyl alcohol","Organic oxygen compounds"
"Pregnancy","l-valine","Organic acids and derivatives"
"Pregnancy","trimethylamine","Organic nitrogen compounds"
"Pregnancy","nitrogen","Homogeneous non-metal compounds"
"Pregnancy","acetone","Organic oxygen compounds"
"Pregnancy","isobutyric acid","Organic acids and derivatives"
"Pregnancy","propylene glycol","Organic oxygen compounds"
"Pregnancy","butyrylcarnitine","Lipids and lipid-like molecules"
"Pregnancy","monoethyl phthalate","Benzenoids"
"Pregnancy","cobalamin","Organoheterocyclic compounds"
"Pregnancy","dodecanoylcarnitine","Lipids and lipid-like molecules"
"Pregnancy","d-glutamic acid","Organic acids and derivatives"
"Pregnancy","dimethyl sulfone","Organosulfur compounds"
"Pregnancy","tetradecanoylcarnitine","Lipids and lipid-like molecules"
"Pregnancy","linoleyl carnitine","Lipids and lipid-like molecules"
